System,Domain,Task,Authors,Notability criteria,Notability criteria notes,Open-source,Link,Citations,Reference,Publication date,Organization,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,Training dataset size (datapoints),Dataset size notes,Epochs,Inference compute (FLOP),Inference compute notes,Training time (hours),Training time notes,Training hardware,Approach,Training compute cost (2020 USD),Compute cost notes,Compute sponsor categorization,Confidence,Abstract,Last modified,Created By,Benchmark data,Exclude,Country (from Organization),Base model,Finetune compute (FLOP),Finetune compute notes,Hardware quantity,Hardware utilization,Training cost trends,Training cloud compute vendor,Training data center,Archived links,Batch size,Batch size notes,Organization categorization,Foundation model,Training compute lower bound,Training compute upper bound,Training chip-hours
Qwen1.5 72B,Language,"Chat,Language modelling/generation",,SOTA improvement,"#1 in C-Eval (84.1, better than Qwen-72B. https://qwenlm.github.io/blog/qwen1.5/, https://cevalbenchmark.com/static/leaderboard.html)",Permissive license,https://qwenlm.github.io/blog/qwen1.5/,,Introducing Qwen1.5,2024-02-04,Alibaba,72000000000.00,72B,,,,,,,,,,,,,,,,,Likely,"In recent months, our focus has been on developing a “good” model while optimizing the developer experience. As we progress towards Qwen1.5, the next iteration in our Qwen series, this update arrives just before the Chinese New Year. With Qwen1.5, we are open-sourcing base and chat models across six sizes: 0.5B, 1.8B, 4B, 7B, 14B, and 72B. In line with tradition, we’re also providing quantized models, including Int4 and Int8 GPTQ models, as well as AWQ and GGUF quantized models. To enhance the developer experience, we’ve merged Qwen1.5’s code into Hugging Face transformers, making it accessible with transformers>=4.37.0 without needing trust_remote_code.",2024-02-21 22:24,Anonymous,,0,China,,,,,,,,,,,,Industry,,,,0
LLaVA-NeXT-34B (LLaVA-1.6),"Multimodal,Language,Vision","Visual question answering,Chat,Question answering","Haotian Liu, Chunyuan Li, Yuheng Li, Bo Li, Yuanhan Zhang, Sheng Shen, Yong Jae Lee",,"""SoTA Performance! LLaVA-NeXT achieves the best performance compared with open-source LMMs such as CogVLM or Yi-VL. Compared with commercial ones, it catches up to Gemini Pro and outperforms Qwen-VL-Plus on selected benchmarks.""",Fully open-source,https://llava-vl.github.io/blog/2024-01-30-llava-next/https://github.com/haotian-liu/LLaVA/tree/mainhttps://huggingface.co/liuhaotian/llava-v1.6-34b,,"LLaVA-NeXT: Improved reasoning, OCR, and world knowledge",2024-01-30,"University of Wisconsin Madison,ByteDance,Nanyang Technological University,UC Berkeley",34750000000.00,34.75B,258785280000000000000.00,"2.6e20 = 32 * 312e12 * 0.3 * 24* 3600 = num gpus * peak flops * assumed utilization rate * time in seconds
""The largest 34B variant finishes training in ~1 day with 32 A100s.""",,"""Data: Coming soon.""",,"'1318K"" image-text pairs",,,,24.0,"""The largest 34B variant finishes training in ~1 day with 32 A100s.""",NVIDIA A100,,,,Industry,Likely,,2024-02-22 15:20,Bartosz Podkanowicz,,,"United States of America,China,Singapore,United States of America",,,,32,,,,,,,,"Academia,Industry,Academia,Academia",,,,768
Code Llama-70B,Language,Code generation,"Baptiste Rozière, Jonas Gehring, Fabian Gloeckle, Sten Sootla, Itai Gat, Ellen Tan, Yossef (Yossi) Adi, Jingyu Liu, Tal Remez, Jérémy Rapin, Artyom Kozhevnikov, Ivan Evtimov, Joanna Bitton, Manish Bhatt, Cristian Canton Ferrer, Aaron Grattafiori, Wenhan Xiong, Alexandre Defossez, Jade Copet, Faisal Azhar, Hugo Touvron, Gabriel Synnaeve, Louis Martin, Nicolas Usunier, Thomas Scialom",,"""In our own benchmark testing, Code Llama outperformed state-of-the-art publicly available LLMs on code tasks""",Permissive license,https://ai.meta.com/research/publications/code-llama-open-foundation-models-for-code/,369.00,Code Llama: Open Foundation Models for Code,2024-01-29,Meta AI,70000000000.00,70B,1.230000000001e+24,Finetune compute for 70B model: 1T tokens of code * ,,"We are releasing four sizes of Code Llama with 7B, 13B, 34B, and 70B parameters respectively. Each of these models is trained with 500B tokens of code and code-related data, apart from 70B, which is trained on 1T tokens.",3000000000000,Llama 70B training dataset was 2 trillion tokens. Code Llama finetuning dataset was 1 trillion tokens of code.,1.00,140000000000.00,"Assume 70B parameters, dense architecture, 2 FLOP/inference -> 140B FLOP/inference",6480.0,Assuming Code Llama 70B training continued on same hardware as Llama 2 70B.,NVIDIA A100 SXM4 80 GB,,,,Industry,Likely,"We release Code Llama, a family of large language models for code based on Llama 2 providing state-of-the-art performance among open models, infilling capabilities, support for large input contexts, and zero-shot instruction following ability for programming tasks. We provide multiple flavors to cover a wide range of applications: foundation models (Code Llama), Python specializations (Code Llama - Python), and instruction-following models (Code Llama - Instruct) with 7B, 13B and 34B parameters each. All models are trained on sequences of 16k tokens and show improvements on inputs with up to 100k tokens. 7B and 13B Code Llama and Code Llama - Instruct variants support infilling based on surrounding content. Code Llama reaches state-of-the-art performance among open models on several code benchmarks, with scores of up to 53% and 55% on HumanEval and MBPP, respectively. Notably, Code Llama - Python 7B outperforms Llama 2 70B on HumanEval and MBPP, and all our models outperform every other publicly available model on MultiPL-E. We release Code Llama under a permissive license that allows for both research and commercial use.",2024-03-01 09:05,Robi Rahman,,0,Multinational,Llama 2-70B,4,"Training the nine Code Llama models took 400k A100-hours across all the models, per model card. It's nine models because there are three base models at 7B, 13B, 34B, and then Instruct and Python models across all three sizes. I'll calculate for Code Llama Python-34B since it's the most trained.

Code Llama-base is trained from Llama 2 with 500B tokens: ""We train Code Llama on 500B tokens during the initial phase, starting from the 7B, 13B, and 34B versions of Llama 2""

Code Llama-Python required an additional 100B tokens in fine-tuning: ""We train Code Llama on 500B additional tokens and Code Llama - Python further on 100B tokens.""
Code Llama-Instruct is fine-tuned on 5B tokens: ""For Code Llama - Instruct, we train with a batch size of 524,288 tokens and on approx. 5B tokens in total.""

34B * (500B+100B) * 6 = 1.22e23

Using the hardware method, we get 400,000 * 3600 * 312 trillion * 0.3 = 1.32e23 for the whole family. Using 34/(34+13+7) as the proportion of compute used for the 34B model, we get 0.63 * 1.32e23 = 8.5e22. (this is rounding down instruct tuning to 0).

Token*params estimate is probably better; seems like evidence of utilization > 0.3.",400,0.4350,,,,,4000000,"Llama 2 pretraining used 4M batches. I believe the sentence below refers to the training from Llama 2 -> Code Llama-base. 

""We use a batch size of 4M tokens which are presented as sequences of 4,096 tokens each.""

Subsequent fine-tuning batch sizes are 500k-1M. 

""For Code Llama - Instruct, we train with a batch size of 524,288 tokens and on approx. 5B tokens in total... For long context fine-tuning (LCFT)... the batch size is set to 2M tokens for model sizes 7B and 13B and to 1M tokens for model size 34B, respectively. Training lasts for 10,000 gradient steps by default."" ",Industry,,,,2592000
Karakuri LM,Language,"Language modelling/generation,Chat",,,,Permissive license,https://huggingface.co/karakuri-ai/karakuri-lm-70b-v0.1,,KARAKURI LM,2024-01-26,KARAKURI Inc.,70000000000.00,70B,,,,,,,,,,,,,,,,Industry,Likely,,2024-02-28 07:18,Bartosz Podkanowicz,,,Japan,Llama 2-70B,,,,,,,,,,,Industry,,,,0
Qwen-VL-Max,Multimodal,"Chat,Image captioning",,SOTA improvement,"""Notably, Qwen-VL-Max outperforms both GPT-4V from OpenAI and Gemini from Google in tasks on Chinese question answering and Chinese text comprehension""",API accessible,https://qwenlm.github.io/blog/qwen-vl/,,Introducing Qwen-VL,2024-01-25,Alibaba,,"Not stated. Qwen-VL (less capable, presumably smaller version) is 9.6B",,,,,,,,,,,,,,,,,Likely,"Along with the rapid development of our large language model Qwen, we leveraged Qwen’s capabilities and unified multimodal pretraining to address the limitations of multimodal models in generalization, and we opensourced multimodal model Qwen-VL in Sep. 2023. Recently, the Qwen-VL series has undergone a significant upgrade with the launch of two enhanced versions, Qwen-VL-Plus and Qwen-VL-Max. The key technical advancements in these versions include:

Substantially boost in image-related reasoning capabilities;
Considerable enhancement in recognizing, extracting, and analyzing details within images and texts contained therein;
Support for high-definition images with resolutions above one million pixels and images of various aspect ratios.",2024-02-21 22:24,Anonymous,,0,China,,,,,,,,,,,,Industry,,,,0
Fuyu-Heavy,Multimodal,Chat,,,"According to Adept: ""Fuyu-Heavy is the world’s third-most-capable multimodal model, behind only GPT4-V and Gemini Ultra, which are 10-20 times bigger.""

""Fuyu-Heavy performs roughly on par with Gemini Pro on standard text-only evaluations, outperforming it on the commonly used MMLU benchmark.""",,https://www.adept.ai/blog/adept-fuyu-heavy,,Adept Fuyu-Heavy: A new multimodal model,2024-01-24,Adept,100000000000.00,"""Fuyu-Heavy is the world’s third-most-capable multimodal model, behind only GPT4-V and Gemini Ultra, which are 10-20 times bigger""

So possibly around ~100B params, though GPT-4/Gemini params aren't public",,Nvidia hardware,,"curated/generated image data:

""high-quality image pre-training data is scarce, we’ve devoted a lot of effort to collecting, curating, and even creating this data. There’s also a delicate balance between text and image tasks — we had to develop recipes for striking this balance at scale""",,,,,,,,,,,,,Speculative,"We’re excited to introduce Adept Fuyu-Heavy, a new multimodal model designed specifically for digital agents. Fuyu-Heavy is the world’s third-most-capable multimodal model, behind only GPT4-V and Gemini Ultra, which are 10-20 times bigger. We’re excited about this model because:

It excels at multimodal reasoning. To us the killer feature is UI understanding, but it also performs well on more traditional multimodal benchmarks. In particular, Fuyu-Heavy scores higher on the MMMU benchmark than even Gemini Pro.
On standard text-based benchmarks, it matches or exceeds the performance of models in the same compute class despite having to devote some of its capacity to image modeling.
It demonstrates that (with some modifications) we can scale up the Fuyu architecture and reap all of the associated benefits, including handling arbitrary size/shape images and efficiently re-using existing transformer optimizations.",2024-02-07 18:27,Anonymous,,0,United States of America,,,,,,,,,,,,Industry,,,,0
StableLM-2-1.6B,Language,Language modelling/generation,Stability AI Language Team,,,Weights available,https://huggingface.co/stabilityai/stablelm-2-1_6b,,Stable LM 2 1.6B,2024-01-18,Stability AI,1600000000.00,Stable LM 2 1.6B,1.92e+22,"6 * 1.6B * 2T = 19200000000000000000000
","Falcon RefinedWeb,RedPajama-Data,The Pile,StarCoder","""The dataset is comprised of a filtered mixture of open-source large-scale datasets available on the HuggingFace Hub: Falcon RefinedWeb extract (Penedo et al., 2023), RedPajama-Data (Together Computer., 2023) and The Pile (Gao et al., 2020) both without the Books3 subset, and StarCoder (Li et al., 2023). We further supplement our training with multi-lingual data from CulturaX (Nguyen et al., 2023) and, in particular, from its OSCAR corpora, as well as restructured data in the style of Yuan & Liu (2022).""",2000000000000,"""model pre-trained on 2 trillion tokens of diverse multilingual and code datasets for two epochs.""
assuming 1 word per token ",,3200000000.00,2N,,,NVIDIA A100 SXM4 40 GB,Self-supervised learning,,,,Likely,,2024-02-14 16:27,Anonymous,,,Multinational,,,,512,,,,,,,,Industry,,,,0
AlphaGeometry,Mathematics,Quantitative reasoning,"Trieu H. Trinh, Yuhuai Wu, Quoc V. Le, He He, Thang Luong",SOTA improvement,"""On a test set of 30 latest olympiad-level problems, AlphaGeometry solves 25, outperforming the previous best method that only solves ten problems and approaching the performance of an average International Mathematical Olympiad (IMO) gold medallist.""",Permissive license,https://www.nature.com/articles/s41586-023-06747-5,24.00,Solving olympiad geometry without human demonstrations,2024-01-17,"Google DeepMind,New York University (NYU)",151000000.00,"""Overall, the transformer has 151 million parameters, excluding embedding layers at its input and output heads.""",,"Training details. Don't think there's enough info for a FLOP estimate.

""Our customized tokenizer is trained with ‘word’ mode using
SentencePiece36 and has a vocabulary size of 757. We limit the maximum context length to 1,024 tokens and use T5-style relative position embedding37. Sequence packing38,39 is also used because more
than 90% of our sequences are under 200 in length. During training, a
dropout40 rate of 5% is applied pre-attention and post-dense. A 4 × 4 slice of TPUv3 (ref. 41) is used as its hardware accelerator. For pretraining, we train the transformer with a batch size of 16 per core
and a cosine learning-rate schedule that decays from 0.01 to 0.001
in 10,000,000 steps. For fine-tuning, we maintain the final learning rate of 0.001 for another 1,000,000 steps""",,Synthetic dataset of geometry proofs,,"100m examples of theorem-proofs

""By using existing symbolic engines on a diverse set of random theorem premises, we extracted 100 million synthetic theorems and their
proofs, many with more than 200 proof steps, four times longer than
the average proof length of olympiad theorems.""",,,,,,Google TPU v3,,,,,Likely,"Proving mathematical theorems at the olympiad level represents a notable milestone in human-level automated reasoning1,2,3,4, owing to their reputed difficulty among the world’s best talents in pre-university mathematics. Current machine-learning approaches, however, are not applicable to most mathematical domains owing to the high cost of translating human proofs into machine-verifiable format. The problem is even worse for geometry because of its unique translation challenges1,5, resulting in severe scarcity of training data. We propose AlphaGeometry, a theorem prover for Euclidean plane geometry that sidesteps the need for human demonstrations by synthesizing millions of theorems and proofs across different levels of complexity. AlphaGeometry is a neuro-symbolic system that uses a neural language model, trained from scratch on our large-scale synthetic data, to guide a symbolic deduction engine through infinite branching points in challenging problems. On a test set of 30 latest olympiad-level problems, AlphaGeometry solves 25, outperforming the previous best method that only solves ten problems and approaching the performance of an average International Mathematical Olympiad (IMO) gold medallist. Notably, AlphaGeometry produces human-readable proofs, solves all geometry problems in the IMO 2000 and 2015 under human expert evaluation and discovers a generalized version of a translated IMO theorem in 2004.",2024-03-01 09:05,Anonymous,,0,"Multinational,United States of America",,,,,,,,,,,,"Industry,Academia",,,,0
DeciCoder-6B,Language,"Chat,Code autocompletion",DeciAI Research Team,,,Fully open-source,https://huggingface.co/Deci/DeciCoder-6B,, Model Card for DeciCoder-6B,2024-01-15,Deci AI,6000000000.00,6B,,,,,,,,,,,,,,,,,Likely,,2024-02-29 14:24,Bartosz Podkanowicz,,,Israel,,,,,,,,,,,,Industry,,,,0
InternLM2-20b,Language,"Chat,Language modelling/generation",,,,Permissive license,https://huggingface.co/internlm/internlm2-20b,, InternLM ,2024-01-12,,20000000000.00,20B,,,,,,,,40000000000.00,2N,,,,,,,,Likely,,2024-02-17 03:24,Bartosz Podkanowicz,,,,,,,,,,,,,,,,,,,0
DeepSeekMoE-16B,Language,Chat,"Damai Dai, Chengqi Deng, Chenggang Zhao, R.X. Xu, Huazuo Gao, Deli Chen, Jiashi Li, Wangding Zeng, Xingkai Yu, Y. Wu, Zhenda Xie, Y.K. Li, Panpan Huang, Fuli Luo, Chong Ruan, Zhifang Sui, Wenfeng Liang",,"""In addition, DeepSeekMoE 2B nearly approaches the performance of its dense counterpart with the same number of total parameters, which set the upper bound of MoE models. Subsequently, we scale up DeepSeekMoE to 16B parameters and show that it achieves comparable performance with LLaMA2 7B, with only about 40% of computations""",Permissive license,https://arxiv.org/abs/2401.06066,8.00,DeepSeekMoE: Towards Ultimate Expert Specialization in Mixture-of-Experts Language Models,2024-01-11,DeepSeek,16000000000.00,"16B (total, but it's sparse)",3.4e+22,"""With the DeepSeekMoE architecture, we scale up our MoE model to a larger scale with 16B total
parameters and train it on 2T tokens""

""Evaluation results reveal that with only about 40% of computations, DeepSeekMoE 16B achieves comparable performance
with DeepSeek 7B (DeepSeek-AI, 2024), a dense model trained on the same 2T corpus""

40% * 7B = 2.8B, so 2.8B effective parameters

2.8B * 2T * 6 ~= 3.4e22",,"""Our training data is sampled from a large-scale multilingual corpus created by DeepSeek-AI. The
corpus primarily focuses on English and Chinese but also encompasses other languages. It is de
rived from diverse sources, including web text, mathematical material, coding scripts, published
literature, and various other textual materials. For the purpose of validation experiments, we
sample a subset containing 100B tokens from the corpus to train our models""",1800000000000,"""Leveraging our architecture, we subsequently scale up the model parameters to 16B and
train DeepSeekMoE 16B on a large-scale corpus with 2T tokens.""

Probably a mix of English and Chinese. 1T English tokens is 0.75T words; 1T Chinese tokens is 1T words, so ~1.8T total

",1.00,,,,,"NVIDIA A100,NVIDIA H800",,,,,Likely,"In the era of large language models, Mixture-of-Experts (MoE) is a promising architecture for managing computational costs when scaling up model parameters. However, conventional MoE architectures like GShard, which activate the top-K out of N experts, face challenges in ensuring expert specialization, i.e. each expert acquires non-overlapping and focused knowledge. In response, we propose the DeepSeekMoE architecture towards ultimate expert specialization. It involves two principal strategies: (1) finely segmenting the experts into mN ones and activating mK from them, allowing for a more flexible combination of activated experts; (2) isolating Ks experts as shared ones, aiming at capturing common knowledge and mitigating redundancy in routed experts. Starting from a modest scale with 2B parameters, we demonstrate that DeepSeekMoE 2B achieves comparable performance with GShard 2.9B, which has 1.5 times the expert parameters and computation. In addition, DeepSeekMoE 2B nearly approaches the performance of its dense counterpart with the same number of total parameters, which set the upper bound of MoE models. Subsequently, we scale up DeepSeekMoE to 16B parameters and show that it achieves comparable performance with LLaMA2 7B, with only about 40% of computations. Further, our preliminary efforts to scale up DeepSeekMoE to 145B parameters consistently validate its substantial advantages over the GShard architecture, and show its performance comparable with DeepSeek 67B, using only 28.5% (maybe even 18.2%) of computations.",2024-02-23 16:54,Anonymous,,0,China,,,,,,,,,,,,Industry,,,,0
MAGNeT,Audio,Audio generation,"Alon Ziv, Itai Gat, Gael Le Lan, Tal Remez, Felix Kreuk, Alexandre Défossez, Jade Copet, Gabriel Synnaeve, Yossi Adi",,"Mainly efficiency benefits: ""The proposed approach is comparable to the evaluated baselines, while being significantly faster (x7 faster than the autoregressive baseline).""",Permissive license,"https://arxiv.org/abs/2401.04577, https://github.com/facebookresearch/audiocraft/blob/main/docs/MAGNET.md",,Masked Audio Generation using a Single Non-Autoregressive Transformer,2024-01-09,"Meta AI,Hebrew University of Jerusalem,Kyutai",1500000000.00,"""We train non-autoregressive transformer models using 300M (MAGNET-small) and 1.5B
(MAGNET-large) parameters.""",,"""We train the models for
1M steps with the AdamW optimizer (Loshchilov & Hutter, 2017), a batch size of 192 examples... We train the models using respectively 32 GPUs for the small model and 64 GPUs for the large ones with float16 precision.""","ShutterStock,Pond5","""We follow the same setup as in Copet et al. (2023) and use 20K hours of licensed music to train
MAGNET.  Specifically, we rely on the same 10K high-quality music tracks, the ShutterStock,
and Pond5 music data collections as used in Copet et al. (2023)
8 with respectively 25K and 365K
instrument-only music tracks""

Copet et al is the MusicGen paper",,20k hours,,,,,,,,,,,Likely,"We introduce MAGNeT, a masked generative sequence modeling method that operates directly over several streams of audio tokens. Unlike prior work, MAGNeT is comprised of a single-stage, non-autoregressive transformer. During training, we predict spans of masked tokens obtained from a masking scheduler, while during inference we gradually construct the output sequence using several decoding steps. To further enhance the quality of the generated audio, we introduce a novel rescoring method in which, we leverage an external pre-trained model to rescore and rank predictions from MAGNeT, which will be then used for later decoding steps. Lastly, we explore a hybrid version of MAGNeT, in which we fuse between autoregressive and non-autoregressive models to generate the first few seconds in an autoregressive manner while the rest of the sequence is being decoded in parallel. We demonstrate the efficiency of MAGNeT for the task of text-to-music and text-to-audio generation and conduct an extensive empirical evaluation, considering both objective metrics and human studies. The proposed approach is comparable to the evaluated baselines, while being significantly faster (x7 faster than the autoregressive baseline). Through ablation studies and analysis, we shed light on the importance of each of the components comprising MAGNeT, together with pointing to the trade-offs between autoregressive and non-autoregressive modeling, considering latency, throughput, and generation quality. Samples are available on our demo page this https URL.",2024-02-02 17:45,Anonymous,,0,"Multinational,Israel,France",,,,,,,,,,,,"Industry,Academia,Industry",,,,0
