System,Domain,Task,Authors,Notability criteria,Notability criteria notes,Open-source,Link,Citations,Reference,Publication date,Organization,Organization categorization,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,Training dataset size (datapoints),Dataset size notes,Epochs,Inference compute (FLOP),Inference compute notes,Training time (hours),Training time notes,Training hardware,Name of the hardware (from Training hardware),Approach,Training compute cost (2020 USD),Compute cost notes,Compute sponsor categorization,Confidence,Abstract,Last modified,Created By,Benchmark data,Exclude,Country (from Organization),Organization (from Organization),Base model,Finetune compute (FLOP),Finetune compute notes,Authors by country,Hardware quantity,Hardware utilization,Training cost trends
Sparrow,Language,Chat,"Amelia Glaese, Nat McAleese, Maja Trębacz, John Aslanides, Vlad Firoiu, Timo Ewalds, Maribeth Rauh, Laura Weidinger, Martin Chadwick, Phoebe Thacker, Lucy Campbell-Gillingham, Jonathan Uesato, Po-Sen Huang, Ramona Comanescu, Fan Yang, Abigail See, Sumanth Dathathri, Rory Greig, Charlie Chen, Doug Fritz, Jaume Sanchez Elias, Richard Green, Soňa Mokrá, Nicholas Fernando, Boxi Wu, Rachel Foley, Susannah Young, Iason Gabriel, William Isaac, John Mellor, Demis Hassabis, Koray Kavukcuoglu, Lisa Anne Hendricks, Geoffrey Irving",,,,https://arxiv.org/abs/2209.14375,157.00,Improving alignment of dialogue agents via targeted human judgements,2022-09-28,DeepMind,,70000000000.00,70B,,,,,,,,,,,,,,,,,,Likely,"We present Sparrow, an information-seeking dialogue agent trained to be more helpful, correct, and harmless compared to prompted language model baselines. We use reinforcement learning from human feedback to train our models with two new additions to help human raters judge agent behaviour. First, to make our agent more helpful and harmless, we break down the requirements for good dialogue into natural language rules the agent should follow, and ask raters about each rule separately. We demonstrate that this breakdown enables us to collect more targeted human judgements of agent behaviour and allows for more efficient rule-conditional reward models. Second, our agent provides evidence from sources supporting factual claims when collecting preference judgements over model statements. For factual questions, evidence provided by Sparrow supports the sampled response 78% of the time. Sparrow is preferred more often than baselines while being more resilient to adversarial probing by humans, violating our rules only 8% of the time when probed. Finally, we conduct extensive analyses showing that though our model learns to follow our rules it can exhibit distributional biases.",2023-12-09 08:45,Anonymous,,0,United Kingdom of Great Britain and Northern Ireland,DeepMind,Chinchilla,,"Few clues from paper. Not clear how much fine-tuning data in total. Also they freeze some layers during fine-tuning:

""In all cases when fine-tuning, we freeze the bottom 64 transformer layers of Chinchilla, and
only fine-tune the final 16 layers; this allows sharing of the frozen layers between the rule model,
preference models, and the base LM/policy when reranking and during reinforcement learning
training, resulting in a reduced memory footprint (fig. 8).""",,,,
Make-A-Video,Text-to-Video,,"Uriel Singer, Adam Polyak, Thomas Hayes, Xi Yin, Jie An, Songyang Zhang, Qiyuan Hu, Harry Yang, Oron Ashual, Oran Gafni, Devi Parikh, Sonal Gupta, Yaniv Taigman",SOTA Improvement,,,https://arxiv.org/abs/2209.14792,406.00,Make-A-Video: Text-to-Video Generation without Text-Video Data,2022-09-29,Meta AI,Industry,,,,,,,,,,,,,,,,Self-supervised learning,,,,,,2023-12-05 04:33,Robi Rahman,,,Multinational,Meta AI,,,,Make-A-Video,,,
NMST+GPT-2,Language,,"Eugene Choi, Cheolhyoung Lee, Kyunghyun Cho",,,,https://web.archive.org/web/20230220171748/https://arxiv.org/pdf/2210.00660.pdf,0.00,A Non-monotonic Self-terminating Language Model,2022-10-03,,,124000000.00,,120000000000000000000.00,,,,,,2.98,,,,,,,,,,,,,2023-11-23 06:53,Robi Rahman,NMST+GPT-2,,,,,,,,,,
VRNS-RNN-3-3-5,Language,,"Brian DuSell, David Chiang",,,,https://arxiv.org/pdf/2210.01343,1.00,The Surprising Computational Power of Nondeterministic Stack RNNs,2022-10-04,,,1500000.00,,,,,,,,,,,,,,,,,,,,,2023-11-21 01:39,Robi Rahman,VRNS-RNN-3-3-5,,,,,,,,,,
Phenaki,Vision,Video generation,"Ruben Villegas, Mohammad Babaeizadeh, Pieter-Jan Kindermans, Hernan Moraldo, Han Zhang, Mohammad Taghi Saffar, Santiago Castro, Julius Kunze, Dumitru Erhan",SOTA Improvement,"""To the best of our knowledge, this is the first time a paper studies generating videos from time variable prompts""",,https://arxiv.org/abs/2210.02399,143.00,Phenaki: Variable Length Video Generation From Open Domain Textual Description,2022-10-05,"University College London (UCL),University of Michigan,Google Brain",Industry - Academia Collaboration (Industry leaning),1800000000.00,"Unless specified otherwise, we train a 1.8B parameter Phenaki model on a corpus of ∼15M textvideo pairs at 8 FPS mixed with ∼50M text-images plus ∼400M pairs of LAION-400M [41] (more
details in Appendix B.3). The model used in the visualisations in this paper was trained for 1 million
steps at a batch size of 512, which took less than 5 days. In this setup 80% of the training data came
from the video dataset and each image dataset contributed 10%.",,,,"Unless specified otherwise, we train a 1.8B parameter Phenaki model on a corpus of ∼15M textvideo pairs at 8 FPS mixed with ∼50M text-images plus ∼400M pairs of LAION-400M [41] (more
details in Appendix B.3). The model used in the visualisations in this paper was trained for 1 million
steps at a batch size of 512, which took less than 5 days. In this setup 80% of the training data came
from the video dataset and each image dataset contributed 10%.",,"Unless specified otherwise, we train a 1.8B parameter Phenaki model on a corpus of ∼15M textvideo pairs at 8 FPS mixed with ∼50M text-images plus ∼400M pairs of LAION-400M [41] (more
details in Appendix B.3). The model used in the visualisations in this paper was trained for 1 million
steps at a batch size of 512, which took less than 5 days. In this setup 80% of the training data came
from the video dataset and each image dataset contributed 10%.",,,,,,,,Self-supervised learning,,,,,,2023-12-05 04:33,Robi Rahman,,,"United Kingdom of Great Britain and Northern Ireland,United States of America,Multinational","University College London (UCL), University of Michigan, Google Brain",,,,Phenaki,,,
Imagen Video,Vision,Video generation,"Jonathan Ho, William Chan, Chitwan Saharia, Jay Whang, Ruiqi Gao, Alexey Gritsenko, Diederik P. Kingma, Ben Poole, Mohammad Norouzi, David J. Fleet, Tim Salimans",,,,https://arxiv.org/abs/2210.02303,444.00,Imagen Video: High Definition Video Generation with Diffusion Models,2022-10-05,Google Brain,Industry,11600000000.00,"Figure 6 summarizes the entire cascading pipeline of Imagen Video. In total, we have 1 frozen text
encoder, 1 base video diffusion model, 3 SSR (spatial super-resolution), and 3 TSR (temporal superresolution) models – for a total of 7 video diffusion models, with a total of 11.6B diffusion model
parameters",,,,,,"We train our models on a combination of an internal dataset consisting of 14 million video-text pairs
and 60 million image-text pairs, and the publicly available LAION-400M image-text dataset.",,,,,,,,,,,,,,2023-12-05 04:33,Robi Rahman,,,Multinational,Google Brain,,,,,,,
Decaying Fast Weights Transformer,Language,,Huanru Henry Mao,,,,https://arxiv.org/pdf/2210.04243.pdf,1.00,Fine-Tuning Pre-trained Transformers into Decaying Fast Weights,2022-10-09,,,242000000.00,,13000000000000000000.00,,,,,,192.12,,,,,,,,,,,,,2023-12-05 04:33,Robi Rahman,Decaying Fast Weights Transformer,,,,,,,,,,
TPM-LVD,Language,,"Anji Liu, Honghua Zhang, Guy Van den Broeck",,,,https://arxiv.org/pdf/2210.04398.pdf,12.00,Scaling up Probabilistic Circuits by Latent Variable Distillation,2022-10-10,,,1120000000.00,,,,,,,,,,,,,,,,,,,,,2023-12-05 04:33,Robi Rahman,TPM-LVD,,,,,,,,,,
Progressive LRD,Language,,"Habib Hajimolahoseini, Walid Ahmed, Mehdi Rezagholizadeh, Vahid Partovinia, Yang Liu",,,,https://web.archive.org/web/20221130215920/https://neurips2022-enlsp.github.io/papers/paper_33.pdf,0.00,Strategies for Applying Low Rank Decomposition to Transformer-Based Models,2022-10-12,,Industry,31000000.00,,62000000000000000000.00,,,,,,,,,,,,,,,,,,,2023-11-23 06:53,Robi Rahman,Progressive LRD,,,,,,,,,,
Characterizing Verbatim Short-Term Memory in Neural Language Models (182M),Language,,"Kristijan Armeni, Christopher Honey, Tal Linzen",,,,https://arxiv.org/pdf/2210.13569.pdf,3.00,Characterizing Verbatim Short-Term Memory in Neural Language Models,2022-10-24,"Johns Hopkins University,New York University (NYU)",Academia,182000000.00,Table 3,,,,,,,,,,,,,,,,,,,,2023-12-07 08:32,Robi Rahman,Characterizing Verbatim Short-Term Memory in Neural Language Models (182M),,"United States of America,United States of America","Johns Hopkins University, New York University (NYU)",,,,,,,
Characterizing Verbatim Short-Term Memory in Neural Language Models (117M),Language,,,,,,,,,2022-10-24,,,,,,,,,,,,,,,,,,,,,,Unverified,,2023-12-08 01:00,Robi Rahman,Characterizing Verbatim Short-Term Memory in Neural Language Models (117M),1,,,,,,,,,
Characterizing Verbatim Short-Term Memory in Neural Language Models (108M),Language,,,,,,,,,2022-10-24,,,,,,,,,,,,,,,,,,,,,,Unverified,,2023-12-08 01:01,Robi Rahman,Characterizing Verbatim Short-Term Memory in Neural Language Models (108M),1,,,,,,,,,
ADP-FAIRSEQ+NGRAMRES,Language,,"Huayang Li, Deng Cai, Jin Xu, Taro Watanabe",,,,https://web.archive.org/web/20221027013457/https://arxiv.org/pdf/2210.14431.pdf,0.00,N-gram Is Back: Residual Learning of Neural Text Generation with n-gram Language Model,2022-10-26,,,247000000.00,,,,,,,,,,,,,,,,,,,,,2023-11-21 01:39,Robi Rahman,ADP-FAIRSEQ+NGRAMRES,,,,,,,,,,
ADP-FAIRSEQ,Language,,,,,,,,,2022-10-26,,,,,,,,,,,,,,,,,,,,,,Unverified,,2023-12-08 01:00,Robi Rahman,ADP-FAIRSEQ,1,,,,,,,,,
retrieval-quality-kNN-LMs,Language,,"Andrew Drozdov, Shufan Wang, Razieh Rahimi, Andrew McCallum, Hamed Zamani, Mohit Iyyer",,,,https://arxiv.org/abs/2210.15859,8.00,"You can’t pick your neighbors, or can you? When and how to rely on retrieval in the kNN-LM",2022-10-28,University of Massachusetts Amherst,Academia,247000000.00,,,,,,,,,,,,,,,,,,,,,2023-12-07 08:34,Robi Rahman,retrieval-quality-kNN-LMs,,United States of America,University of Massachusetts Amherst,,,,,,,
Taiyi-Stable Diffusion,Drawing,Text-to-image,,Historical significance,"The first open-source, Chinese version of Stable Diffusion.",,https://huggingface.co/IDEA-CCNL/Taiyi-Stable-Diffusion-1B-Chinese-v0.1,0.00,,2022-10-31,IDEA CCNL,,1000000000.00,,5.1e+22,"Fine-tuning: 32 NVIDIA A100 GPUs for 100 hours
32 * 312e12 * 30% * 100 * 60 * 60 = 1.078272e+21 FLOP

Base model: Stable Diffusion, 5e+22 FLOP",,,,,,,,100.0,32 NVIDIA A100 GPUs for 100 hours,NVIDIA A100,NVIDIA A100,,,,,Likely,,2023-11-26 03:25,Anonymous,,,China,IDEA CCNL,,,,Taiyi-Stable Diffusion,,,
TransformerXL + PowerSGD + L-Greco,Language,,"Mohammadreza Alimohammadi, Ilia Markov, Elias Frantar, Dan Alistarh",,,,https://web.archive.org/web/20221101102609/https://arxiv.org/pdf/2210.17357.pdf,3.00,L-GreCo: An Efficient and General Framework for Layerwise-Adaptive Gradient Compression,2022-10-31,,Industry - Academia Collaboration,,,414000000000000000.00,,,,,,,,,,,,,,,,,,,2023-11-23 06:53,Robi Rahman,TransformerXL + PowerSGD + L-Greco,,,,,,,,,,
ESM-2,Language,Protein folding prediction,"Zeming Lin, Halil Akin, Roshan Rao, Brian Hie, Zhongkai Zhu, Wenting Lu, Nikita Smetanin, Robert Verkuil, Ori Kabeli, Yaniv Shmueli, Allan dos Santos Costa, Maryam Fazel-Zarandi, Tom Sercu, Salvatore Candido, Alexander Rives",SOTA Improvement,"""The resulting ESM-2 model family significantly outperforms previously state-of-the-art ESM-1b (a ∼650 million parameter model) at a comparable number of parameters, and on structure prediction benchmarks it also outperforms other recent protein language models""",,https://www.biorxiv.org/content/biorxiv/early/2022/10/31/2022.07.20.500902.full.pdf,431.00,Evolutionary-scale prediction of atomic-level protein structure with a language model,2022-10-31,"Meta AI,New York University (NYU)",Industry - Academia Collaboration (Industry leaning),15000000000.00,"""we train models up to 15B parameters""",7.8e+22,"from the paper's Materials and Methods: 
""We trained each model over 512 NVIDIA V100 GPUs. ESM2 700M took 8 days to train. The 3B parameter LM took 30 days. The 15B model took 60 days.""

from Arb Research (https://arbresearch.com/files/gen_bio.pdf): ""ESM-2-15B: 270000 updates x 3.2M batch size x 15 B “connections” x 6. Alternatively, 60 days x 512 V100s x an imputed 30% utilization""

first method gets 7.8e22, the second ~1e23",UniRef50,"""UniRef50, September 2021 version, is used for the training of ESM models""",,,,,,1440.0,,,,Unsupervised,,,Industry,Likely,"""Artificial intelligence has the potential to open insight into the structure of proteins at the scale of evolution. It has only recently been possible to extend protein structure prediction to two hundred million cataloged proteins. Characterizing the structures of the exponentially growing billions of protein sequences revealed by large scale gene sequencing experiments would necessitate a breakthrough in the speed of folding. Here we show that direct inference of structure from primary sequence using a large language model enables an order of magnitude speed-up in high resolution structure prediction. Leveraging the insight that language models learn evolutionary patterns across millions of sequences, we train models up to 15B parameters, the largest language model of proteins to date. As the language models are scaled they learn information that enables prediction of the three-dimensional structure of a protein at the resolution of individual atoms. This results in prediction that is up to 60x faster than state-ofthe-art while maintaining resolution and accuracy. Building on this, we present the ESM Metagenomic Atlas. This is the first large-scale structural characterization of metagenomic proteins, with more than 617 million structures. The atlas reveals more than 225 million high confidence predictions, including millions whose structures are novel in comparison with experimentally determined structures, giving an unprecedented view into the vast breadth and diversity of the structures of some of the least understood proteins on earth.""",2023-11-26 03:25,Anonymous,,,"Multinational,United States of America","Meta AI, New York University (NYU)",,,,ESM-2,,,
Mogrifier RLSTM (WT2),Language,,Gábor Melis,SOTA Improvement,"""On top of these improvements, the RLSTM
outperformed the LSTM by a small margin, and we established a new state of the art on both datasets""",,https://arxiv.org/pdf/2211.01848,0.00,Circling Back to Recurrent Models of Language,2022-11-03,"DeepMind,University College London (UCL)",,35000000.00,,109000000000000000.00,,,,,,250.00,,,,,,,,,,,,,2023-11-26 03:25,Robi Rahman,Mogrifier RLSTM (WT2),,"United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland","DeepMind, University College London (UCL)",,,,Mogrifier RLSTM (WT2),,,
Mogrifier RLSTM (PTB),Language,,,,,,,,,2022-11-03,,,,,,,,,,,400.00,,,,,,,,,,,Unverified,,2023-12-08 01:00,Robi Rahman,Mogrifier RLSTM (PTB),1,,,,,,,,,
BLOOM,Language,Language model,"Margaret Mitchell, Giada Pistilli, Yacine Jernite, Ezinwanne Ozoani, Marissa Gerchick, Nazneen Rajani, Sasha Luccioni, Irene Solaiman, Maraim Masoud, Somaieh Nikpoor, Carlos Muñoz Ferrandis, Stas Bekman, Christopher Akiki, Danish Contractor, David Lansky, Angelina McMillan-Major, Tristan Thrush, Suzana Ilić, Gérard Dupont, Shayne Longpre, Manan Dey, Stella Biderman, Douwe Kiela, Emi Baylor, Teven Le Scao, Aaron Gokaslan, Julien Launay, Niklas Muennighoff",Historical significance,"Was the largest open-source model at the time. 1000+ researchers, many from important orgs such as Microsoft and NVIDIA.",Permissive license,https://huggingface.co/bigscience/bloom,0.00,BigScience Large Open-science Open-access Multilingual Language Model,2022-11-08,"Hugging Face,BigScience",Research Collective,176000000000.00,,1.8e+23,"https://towardsdatascience.com/run-bloom-the-largest-open-access-ai-model-on-your-desktop-computer-f48e1e2a9a32

384 A100 GPUs * 116 days","""TB scale multilingual dataset""","In total, 1.6 terabytes of pre-processed text was converted into 350 billion unique tokens as BLOOM's training datasets.
 arXiv:2210.15424",262500000000,,,,,,,,,Self-supervised learning,,,,,,2023-11-26 03:25,Robi Rahman,,,"Multinational,Multinational","Hugging Face, BigScience",,,,BLOOM,,,
AltCLIP,Multimodal,,"Zhongzhi Chen, Guang Liu, Bo-Wen Zhang, Fulong Ye, Qinghong Yang, Ledell Wu",SOTA Improvement,"""We set new state-of-the-art performances on a bunch of tasks including ImageNet-CN, Flicker30kCN, COCO-CN and XTD""",,https://arxiv.org/abs/2211.06679,29.00,AltCLIP: Altering the Language Encoder in CLIP for Extended Language Capabilities,2022-11-12,Beijing Academy of Artificial Intelligence,Academia,,,,,,,,,10.00,,,,,,,,,,,Likely,"In this work, we present a conceptually simple and effective method to train a strong bilingual/multilingual multimodal representation model. Starting from the pre-trained multimodal representation model CLIP released by OpenAI, we altered its text encoder with a pre-trained multilingual text encoder XLM-R, and aligned both languages and image representations by a two-stage training schema consisting of teacher learning and contrastive learning. We validate our method through evaluations of a wide range of tasks. We set new state-of-the-art performances on a bunch of tasks including ImageNet-CN, Flicker30k-CN, COCO-CN and XTD. Further, we obtain very close performances with CLIP on almost all tasks, suggesting that one can simply alter the text encoder in CLIP for extended capabilities such as multilingual understanding. Our models and code are available at this https URL.",2023-12-05 04:33,Anonymous,,,China,Beijing Academy of Artificial Intelligence,,,,AltCLIP,,,
Galactica,Language,Language modelling,"Ross Taylor, Marcin Kardas, Guillem Cucurull, Thomas Scialom, Anthony Hartshorn, Elvis Saravia, Andrew Poulton, Viktor Kerkez, Robert Stojnic",SOTA Improvement,"""We outperform existing models on a range of scientific tasks. On technical knowledge probes such as LaTeX equations, Galactica outperforms the latest GPT-3 by 68.2% versus 49.0%. Galactica also performs well on reasoning, outperforming Chinchilla on mathematical MMLU by 41.3% to 35.7%, and PaLM 540B on MATH""",,https://galactica.org/static/paper.pdf,283.00,Galactica: A Large Language Model for Science,2022-11-15,Meta AI,Industry,120000000000.00,"""The largest 120B model we train runs on a single NVIDIA A100 node""",3.24e+23,"Authors state the model is trained on 450b tokens. Using 6 FLOP/token/parameter, this is 6*120b*450b = 3.24e23",Galactica Corpus,,,"""Total dataset size = 106 billion tokens""",4.00,,,,,NVIDIA A100 SXM4 80 GB,NVIDIA A100 SXM4 80 GB,Self-supervised learning,,,,Likely,,2023-12-05 04:33,Robi Rahman,,,Multinational,Meta AI,,,,Galactica,,,
AR-LDM,Multimodal,Text-to-image,"Xichen Pan, Pengda Qin, Yuhong Li, Hui Xue, Wenhu Chen",SOTA Improvement,"The first latent diffusion model for coherent visual story synthesizing.
""Quantitative results show that AR-LDM achieves SoTA FID scores on PororoSV, FlintstonesSV, and the newly introduced challenging dataset VIST containing natural images""",,https://arxiv.org/abs/2211.10950,15.00,Synthesizing Coherent Story with Auto-Regressive Latent Diffusion Models,2022-11-20,"Alibaba,University of Waterloo,Vector Institute",Industry - Academia Collaboration (Industry leaning),1500000000.00,Table 1,510000000000000000000.00,8 NVIDIA A100 GPUs for 8 days,,,,"PororoSV, FlintstonesSV and VIST. All storytelling datasets, sizes would be possible to look up.",50.00,,,194.0,8 NVIDIA A100 GPUs for 8 days,NVIDIA A100,NVIDIA A100,,,,,Confident,"Conditioned diffusion models have demonstrated state-of-the-art text-to-image synthesis capacity. Recently, most works focus on synthesizing independent images; While for real-world applications, it is common and necessary to generate a series of coherent images for story-stelling. In this work, we mainly focus on story visualization and continuation tasks and propose AR-LDM, a latent diffusion model auto-regressively conditioned on history captions and generated images. Moreover, AR-LDM can generalize to new characters through adaptation. To our best knowledge, this is the first work successfully leveraging diffusion models for coherent visual story synthesizing. Quantitative results show that AR-LDM achieves SoTA FID scores on PororoSV, FlintstonesSV, and the newly introduced challenging dataset VIST containing natural images. Large-scale human evaluations show that AR-LDM has superior performance in terms of quality, relevance, and consistency.",2023-12-05 04:33,Anonymous,,,"China,Canada,Canada","Alibaba, University of Waterloo, Vector Institute",,,,AR-LDM,,,
CICERO,Games,Diplomacy,,SOTA Improvement,"""We introduce Cicero, the first AI agent to achieve human-level performance in Diplomacy""",,https://www.science.org/doi/10.1126/science.ade9097,57.00,Human-level play in the game of Diplomacy by combining language models with strategic reasoning,2022-11-22,Meta AI,Industry,,"""We took R2C2 (22) as our base model – a 2.7B parameter Transformer-based (23) encoder-decoder model pre-trained on text from the Internet using a BART de-noising objective (24).""",,,WebDiplomacy,,,"""We obtained a dataset of 125,261 games of Diplomacy played online at webDiplomacy.net. Of these, 40,408 games contained dialogue, with a total of 12,901,662 messages exchanged between players. Player accounts were de-identified and automated redaction of personally identifiable information (PII) was performed by webDiplomacy. We refer to this dataset hereafter as WebDiplomacy .""",,,,,,,,,,,,,,2023-11-26 03:25,Robi Rahman,,,Multinational,Meta AI,,,,CICERO,,,
ALM 1.0,Language,Language modelling,,SOTA Improvement,SOTA results on Arabic-language benchmark ALUE.,,https://github.com/FlagAI-Open/FlagAI/blob/master/examples/ALM/README.md,0.00,ALM 1.0,2022-11-28,Beijing Academy of Artificial Intelligence,Academia,,,,,,,,,,,,,,,,,,,,Speculative,,2023-11-26 03:25,Anonymous,,,China,Beijing Academy of Artificial Intelligence,,,,ALM 1.0,,,
GPT-3.5 (text-davinci-003),Language,Language modelling,,"SOTA Improvement,Historical significance,Significant use",,API accessible,https://platform.openai.com/docs/models/gpt-3-5,,,2022-11-28,OpenAI,Industry,,"Parameter count may be 175B based on OpenAI's statements that text-davinci-003 is in the GPT-3.5 series of models. It was also stated to be 175B in the Microsoft CODEFUSION paper, but the paper was reportedly retracted because the authors did not know the parameter count.",2.578e+24,https://colab.research.google.com/drive/1QSxa8YCWjEBQU7mrXLhw6TP1VX5oqgdW#scrollTo=Gt6Z6oZ26clI,,,,,,,,,,NVIDIA A100 SXM4 40 GB,NVIDIA A100 SXM4 40 GB,Reinforcement learning,,,Industry,Speculative,,2023-12-02 08:18,Anonymous,,,United States of America,OpenAI,,,,GPT-3.5 (text-davinci-003),,,GPT-3.5 (text-davinci-003)
DiT-XL/2 + Discriminator Guidance,Vision,Image generation,"Dongjun Kim, Yeongmin Kim, Se Jung Kwon, Wanmo Kang, Il-Chul Moon",SOTA Improvement,"""Using our algorithm, we achive state-of-the-art results on ImageNet 256x256 with FID 1.83 and recall 0.64, similar to the validation data's FID (1.68) and recall (0.66)""",,https://arxiv.org/abs/2211.17091v4,28.00,Refining Generative Process with Discriminator Guidance in Score-based Diffusion Models,2022-11-28,"Korea Advanced Institute of Science and Technology (KAIST),NAVER",Industry - Academia Collaboration (Industry leaning),,,,,,,,,7.00,,,,,NVIDIA A100,NVIDIA A100,,,,,Confident,"The proposed method, Discriminator Guidance, aims to improve sample generation of pre-trained diffusion models. The approach introduces a discriminator that gives explicit supervision to a denoising sample path whether it is realistic or not. Unlike GANs, our approach does not require joint training of score and discriminator networks. Instead, we train the discriminator after score training, making discriminator training stable and fast to converge. In sample generation, we add an auxiliary term to the pre-trained score to deceive the discriminator. This term corrects the model score to the data score at the optimal discriminator, which implies that the discriminator helps better score estimation in a complementary way. Using our algorithm, we achive state-of-the-art results on ImageNet 256x256 with FID 1.83 and recall 0.64, similar to the validation data's FID (1.68) and recall (0.66). We release the code at this https URL.",2023-11-26 03:25,Anonymous,,,"Korea (Republic of),Korea (Republic of)","Korea Advanced Institute of Science and Technology (KAIST), NAVER",,,,DiT-XL/2 + Discriminator Guidance,,,
Discriminator Guidance,Vision,Image generation,"Dongjun Kim, Yeongmin Kim, Se Jung Kwon, Wanmo Kang, Il-Chul Moon",SOTA Improvement,"""Using our algorithm, we achive state-of-the-art results on ImageNet 256x256 with FID 1.83 and recall 0.64, similar to the validation data's FID (1.68) and recall (0.66).""
https://paperswithcode.com/paper/refining-generative-process-with",,https://arxiv.org/abs/2211.17091v4,28.00,Refining Generative Process with Discriminator Guidance in Score-based Diffusion Models,2022-11-28,"Korea Advanced Institute of Science and Technology (KAIST),NAVER",,,,215700000010000000000.00,481 hours * 312 TFLOPS (A100) * 40% utilization,,,,,,,,481.0,Table 6,NVIDIA A100 PCIe,NVIDIA A100 PCIe,,,,,Likely,"The proposed method, Discriminator Guidance, aims to improve sample generation of pre-trained diffusion models. The approach introduces a discriminator that gives explicit supervision to a denoising sample path whether it is realistic or not. Unlike GANs, our approach does not require joint training of score and discriminator networks. Instead, we train the discriminator after score training, making discriminator training stable and fast to converge. In sample generation, we add an auxiliary term to the pre-trained score to deceive the discriminator. This term corrects the model score to the data score at the optimal discriminator, which implies that the discriminator helps better score estimation in a complementary way. Using our algorithm, we achive state-of-the-art results on ImageNet 256x256 with FID 1.83 and recall 0.64, similar to the validation data's FID (1.68) and recall (0.66).",2023-12-07 05:47,Anonymous,,0,"Korea (Republic of),Korea (Republic of)","Korea Advanced Institute of Science and Technology (KAIST), NAVER",,,,,,,
ChatGPT (gpt-3.5-turbo),Language,,,"Historical significance,Significant use",https://www.reuters.com/technology/chatgpt-sets-record-fastest-growing-user-base-analyst-note-2023-02-01/,,,,,2022-11-30,OpenAI,Industry,20000000000.00,20B parameters according to Table 1 in Microsoft's CODEFUSION paper: https://arxiv.org/pdf/2310.17680.pdf,,,,,,,,,,,,,,,,,Industry,Speculative,,2023-11-26 03:25,Anonymous,,,United States of America,OpenAI,,,,ChatGPT (gpt-3.5-turbo),,,
Transformer + GFM,Language,,"Hao Yu, Jianxin Wu",,,,https://cs.nju.edu.cn/wujx/paper/AAAI2023_AFM.pdf,0.00,"Compressing Transformers: Features Are Low-Rank, but Weights Are Not",2022-12-01,,,185000000.00,,8039999999999999000.00,,,,,,,,,,,,,,,,,,,2023-11-23 06:53,Robi Rahman,Transformer + GFM,,,,,,,,,,
ZymCTRL,Language,Protein generation,"Geraldene Munsamy, Sebastian Lindner, Philipp Lorenz, Noelia Ferruz",,,,https://www.mlsb.io/papers_2022/ZymCTRL_a_conditional_language_model_for_the_controllable_generation_of_artificial_enzymes.pdf,3.00,ZymCTRL: a conditional language model for the controllable generation of artificial enzymes,2022-12-01,"Basecamp Research,Friedrich-Alexander-Universität,University of Girona",Industry - Academia Collaboration (Industry leaning),738000000.00,"""ZymCTRL contains 36 layers totalling 738M parameters""",5.05e+21,"""We trained for 179,000 steps on 48 NVIDIA A100s 80GB for about 15,000 GPU hours""

15000  * 3600 * 312 teraFLOPS * 0.3 (utilization assumption) = 5.05e21",BRENDA,"""ZymCTRL was trained on the BRENDA database, a dataset of 37M enzyme sequences classified according to their enzymatic class""",,,8.00,,,,,NVIDIA A100,NVIDIA A100,,,,,Likely,"""The design of custom-tailored proteins has the potential to provide novel and
groundbreaking solutions in many fields, including molecular medicine or environmental sciences. Among protein classes, enzymes are particularly attractive because their complex active sites can accelerate chemical transformations by several orders of magnitude. Since enzymes are biodegradable nanoscopic materials, they hold an unmatched promise as sustainable, large-scale industrial catalysts. Motivated by the enormous success of language models in designing novel yet nature-like proteins, we hypothesised that an enzyme-specific language model could provide new opportunities to design purpose-built artificial enzymes. Here, we describe ZymCTRL, a conditional language model trained on the BRENDA database of enzymes, which generates enzymes of a specific enzymatic class upon a user prompt. ZymCTRL generates artificial enzymes distant from natural ones while their intended functionality matches predictions from orthogonal methods. We release the model to the community.""",2023-11-23 06:53,Anonymous,,,"United Kingdom of Great Britain and Northern Ireland,Germany,Spain","Basecamp Research, Friedrich-Alexander-Universität, University of Girona",,,,,,,
TransformerXL + FWL,Language,,"Kevin Clark, Kelvin Guu, Ming-Wei Chang, Panupong Pasupat, Geoffrey Hinton, Mohammad Norouzi",,,,https://web.archive.org/web/20221207113900/https://arxiv.org/pdf/2212.02475.pdf,4.00,Meta-Learning Fast Weight Language Models,2022-12-05,,,257000000.00,,,,,,,,,,,,,,,,,,,,,2023-12-05 04:33,Robi Rahman,TransformerXL + FWL,,,,,,,,,,
